Address,BER,Bands,Total m2,CO2 t/yr,Savings EUR,EUR per m2,EUR per t CO2,Flag,Likely wrong figure
"24 Hazelwood, Shankill",B3 → A2,4,148,2.4,800,5.41,333,"Brick slip area is not recorded, so the m2 total is wall area only | Savings per m2 is -49% versus the average (€5/m2 against €11/m2) | Savings per tonne of CO2 is -49% versus the average (€333/t against €654/t) | Bigger job and bigger BER jump than 21 Cill Eanna but lower savings (€800 versus €2,150)",Savings
"41 Greenwood Avenue, Donaghmede",B3 → B3,0,70,0.9,700,10.00,778,"BER after is not better than before | Brick slip area is not recorded, so the m2 total is wall area only",BER
"85 The Dale, Tallaght",C1 → B1,3,118,1.9,700,5.93,368,Savings per m2 is -44% versus the average (€6/m2 against €11/m2) | Savings per tonne of CO2 is -44% versus the average (€368/t against €654/t),Savings
"Killester Park, Killester",,,105,1.4,700,6.67,500,BER rating is missing | Savings per m2 is -38% versus the average (€7/m2 against €11/m2) | Savings per tonne of CO2 is -24% versus the average (€500/t against €654/t),BER
"11 Edenmore Avenue, Edenmore",B3 → B1,2,84,1,650,7.74,650,Bigger job and bigger BER jump than 41 Greenwood Avenue but lower savings (€650 versus €700),Savings
"11 Phoenix Gardens, Castleknock",B2 → A3,2,100,1.1,650,6.50,591,"Brick slip area is not recorded, so the m2 total is wall area only | Savings per m2 is -39% versus the average (€7/m2 against €11/m2) | Bigger job and bigger BER jump than 41 Greenwood Avenue but lower savings (€650 versus €700)",m2
"127 Killester Avenue, Killester",B3 → A3,3,69,1.5,600,8.70,400,Savings per tonne of CO2 is -39% versus the average (€400/t against €654/t),CO2
"45 Belmont Park, Raheny",B3 → A3,3,50,1.5,500,10.00,333,Savings per tonne of CO2 is -49% versus the average (€333/t against €654/t),CO2
"Woodlawn, Hands Lane, Rush",A3 → A2,1,168,0.1,500,2.98,5000,"Savings per m2 is -72% versus the average (€3/m2 against €11/m2) | Savings per tonne of CO2 is 664% versus the average (€5,000/t against €654/t) | Bigger job and bigger BER jump than 41 Greenwood Avenue but lower savings (€500 versus €700)",CO2
"76 Beechfield Road, Walkinstown",A3 → A2,1,120,0.6,400,3.33,667,Savings per m2 is -69% versus the average (€3/m2 against €11/m2) | Bigger job and bigger BER jump than 41 Greenwood Avenue but lower savings (€400 versus €700),Savings
"Warm Build cabin, Dublin",,,,,0,,,"BER, m2, savings and CO2 are blank or zero. This is a cabin, not an insulation BER job.",Not comparable
